dest	size_
"australia_rev"	1.75e+08
"austria_rev"	4.28e+07
"belgium_rev"	3.87e+07
"brazil_rev"	1.09e+08
"bulgaria_rev"	2131702
"chile_rev"	3.36e+07
"czechrepublic_rev"	9252068
"finland_rev"	1.69e+07
"france_rev"	2.44e+08
"germany_rev"	2.77e+08
"greece_rev"	3.19e+07
"hungary_rev"	3767412
"iceland_rev"	1.98e+07
"italy_rev"	1.76e+08
"lebanon_rev"	2547368
"mexico_rev"	1.59e+08
"netherlands_rev"	4.98e+07
"newzealand_rev"	2.25e+07
"norway_rev"	3.56e+07
"poland_rev"	3.35e+07
"portugal_rev"	2.49e+07
"singapore_rev"	1.92e+07
"spain_rev"	1.68e+08
"turkey_rev"	2.20e+07
"unitedarabemirates_rev"	1.18e+07
"unitedkingdom_rev"	4.80e+08
"us_rev"	2.23e+09
